,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__subsample,param_xgb__reg_lambda,param_xgb__reg_alpha,param_xgb__n_estimators,param_xgb__min_child_weight,param_xgb__max_depth,param_xgb__learning_rate,param_xgb__colsample_bytree,param_xgb__colsample_bylevel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
936,42.81606157620748,0.30000695087674806,0.6892241636912028,0.003924694557383251,0.5,0.5,0.0625,3251,2,12,0.0078125,0.6,0.2,"{'xgb__subsample': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__reg_alpha': 0.0625, 'xgb__n_estimators': 3251, 'xgb__min_child_weight': 2, 'xgb__max_depth': 12, 'xgb__learning_rate': 0.0078125, 'xgb__colsample_bytree': 0.6, 'xgb__colsample_bylevel': 0.2}",0.9025295028632484,0.9137496958928953,0.9118945030661698,0.9093912339407711,0.004910733152409795,8
937,41.1708296140035,0.23540097712755628,0.8023428916931152,0.0038406009793372667,0.4,32,0.03125,3751,1,12,0.00390625,0.1,0.9,"{'xgb__subsample': 0.4, 'xgb__reg_lambda': 32, 'xgb__reg_alpha': 0.03125, 'xgb__n_estimators': 3751, 'xgb__min_child_weight': 1, 'xgb__max_depth': 12, 'xgb__learning_rate': 0.00390625, 'xgb__colsample_bytree': 0.1, 'xgb__colsample_bylevel': 0.9}",0.895901690059943,0.9060097093104693,0.906716934975768,0.9028761114487267,0.004940105080978037,125
938,75.57306671142578,0.7887797299721,0.3068067232767741,0.005157126739104262,0.7,0.0078125,32,4001,32,15,0.0009765625,0.8,0.6,"{'xgb__subsample': 0.7, 'xgb__reg_lambda': 0.0078125, 'xgb__reg_alpha': 32, 'xgb__n_estimators': 4001, 'xgb__min_child_weight': 32, 'xgb__max_depth': 15, 'xgb__learning_rate': 0.0009765625, 'xgb__colsample_bytree': 0.8, 'xgb__colsample_bylevel': 0.6}",0.8786095352958505,0.8807079982011602,0.8890571273897002,0.8827915536289037,0.004512497280163697,655
939,14.486509799957275,0.008710113560058037,0.2190429369608561,0.004124471969345616,0.6,1,16,2751,32,11,0.0078125,0.9,0.1,"{'xgb__subsample': 0.6, 'xgb__reg_lambda': 1, 'xgb__reg_alpha': 16, 'xgb__n_estimators': 2751, 'xgb__min_child_weight': 32, 'xgb__max_depth': 11, 'xgb__learning_rate': 0.0078125, 'xgb__colsample_bytree': 0.9, 'xgb__colsample_bylevel': 0.1}",0.8912076434556235,0.8983655625428514,0.9019019675590186,0.8971583911858313,0.004448601954248987,296
940,5.3515574137369795,0.020106446456604567,0.028773943583170574,0.0005067075733476833,0.9,64,512,1251,4,6,0.03125,0.5,0.4,"{'xgb__subsample': 0.9, 'xgb__reg_lambda': 64, 'xgb__reg_alpha': 512, 'xgb__n_estimators': 1251, 'xgb__min_child_weight': 4, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.03125, 'xgb__colsample_bytree': 0.5, 'xgb__colsample_bylevel': 0.4}",0.8449163835432247,0.8494135340563095,0.8589058420742421,0.8510785865579255,0.005831268436776406,1112
941,0.04048585891723633,0.0020191462781068053,0.020082950592041016,0.014779673794329172,0.5,0.015625,0.03125,1,2,9,0.125,0.4,0.0,"{'xgb__subsample': 0.5, 'xgb__reg_lambda': 0.015625, 'xgb__reg_alpha': 0.03125, 'xgb__n_estimators': 1, 'xgb__min_child_weight': 2, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.125, 'xgb__colsample_bytree': 0.4, 'xgb__colsample_bylevel': 0.0}",0.7131593990364413,0.7093348901159663,0.717440307152795,0.7133115321017343,0.0033107707750507347,1373
942,22.549944798151653,0.23444788958766222,0.19046219189961752,0.000921335529210151,0.9,8,64,4001,64,10,0.00390625,0.6,0.3,"{'xgb__subsample': 0.9, 'xgb__reg_lambda': 8, 'xgb__reg_alpha': 64, 'xgb__n_estimators': 4001, 'xgb__min_child_weight': 64, 'xgb__max_depth': 10, 'xgb__learning_rate': 0.00390625, 'xgb__colsample_bytree': 0.6, 'xgb__colsample_bylevel': 0.3}",0.8788477930223731,0.8792418333419343,0.8885527198283907,0.8822141153975661,0.004484956078656163,673
943,8.632516860961914,0.01062915163406614,0.10365589459737141,0.001290643259216031,0.1,1024,16,4251,4,9,0.0625,0.6,0.0,"{'xgb__subsample': 0.1, 'xgb__reg_lambda': 1024, 'xgb__reg_alpha': 16, 'xgb__n_estimators': 4251, 'xgb__min_child_weight': 4, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.0625, 'xgb__colsample_bytree': 0.6, 'xgb__colsample_bylevel': 0.0}",0.8718792162613669,0.8731661420051163,0.8795472895946077,0.8748642159536969,0.003352852368966454,816
944,7.788726409276326,0.044367800871959226,0.14138412475585938,0.002326294446927792,0.5,512,2,3001,2,10,0.0009765625,0.2,0.0,"{'xgb__subsample': 0.5, 'xgb__reg_lambda': 512, 'xgb__reg_alpha': 2, 'xgb__n_estimators': 3001, 'xgb__min_child_weight': 2, 'xgb__max_depth': 10, 'xgb__learning_rate': 0.0009765625, 'xgb__colsample_bytree': 0.2, 'xgb__colsample_bylevel': 0.0}",0.8653876166931859,0.8741452747285152,0.8740034255370648,0.8711787723195886,0.00409537486401355,882
945,4.985184669494629,0.04455374226796552,0.015737136205037434,0.00017897782056368647,0.7,0.00390625,1024,1251,1,14,0.25,0.8,0.3,"{'xgb__subsample': 0.7, 'xgb__reg_lambda': 0.00390625, 'xgb__reg_alpha': 1024, 'xgb__n_estimators': 1251, 'xgb__min_child_weight': 1, 'xgb__max_depth': 14, 'xgb__learning_rate': 0.25, 'xgb__colsample_bytree': 0.8, 'xgb__colsample_bylevel': 0.3}",0.7495758920119941,0.7725394049084731,0.7825250494707416,0.7682134487970697,0.013794858136727985,1332
