,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__subsample,param_xgb__reg_lambda,param_xgb__reg_alpha,param_xgb__n_estimators,param_xgb__min_child_weight,param_xgb__max_depth,param_xgb__learning_rate,param_xgb__colsample_bylevel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
314,5.690178632736206,0.005874825723849473,0.01266638437906901,0.0016981334392613314,1.0,0.03125,0.00390625,3001,32,15,0.0009765625,0.7,"{'xgb__subsample': 1.0, 'xgb__reg_lambda': 0.03125, 'xgb__reg_alpha': 0.00390625, 'xgb__n_estimators': 3001, 'xgb__min_child_weight': 32, 'xgb__max_depth': 15, 'xgb__learning_rate': 0.0009765625, 'xgb__colsample_bylevel': 0.7}",0.8564644607843137,0.8697916666666667,0.917184265010352,0.8811467974871108,0.02605670615246874,355
315,2.027000347773234,0.0138490676381506,0.006332715352376302,0.000469291119313146,0.3,64,0.125,3251,16,1,0.25,0.2,"{'xgb__subsample': 0.3, 'xgb__reg_lambda': 64, 'xgb__reg_alpha': 0.125, 'xgb__n_estimators': 3251, 'xgb__min_child_weight': 16, 'xgb__max_depth': 1, 'xgb__learning_rate': 0.25, 'xgb__colsample_bylevel': 0.2}",0.8248570261437908,0.8665236928104575,0.903852951572994,0.8650778901757473,0.0322661516923226,454
316,2.79931640625,0.023771274394776255,0.013668378194173178,0.0009443712333358783,0.1,0.0078125,0.0625,2251,1,2,0.001953125,1.0,"{'xgb__subsample': 0.1, 'xgb__reg_lambda': 0.0078125, 'xgb__reg_alpha': 0.0625, 'xgb__n_estimators': 2251, 'xgb__min_child_weight': 1, 'xgb__max_depth': 2, 'xgb__learning_rate': 0.001953125, 'xgb__colsample_bylevel': 1.0}",0.877093545751634,0.9043096405228759,0.9233954451345756,0.9015995438030284,0.018999560342109808,108
317,3.782665808995565,0.17347984127638463,0.0076665083567301435,0.001699347399570673,1.0,0.0625,0.25,4501,128,7,0.0078125,0.7,"{'xgb__subsample': 1.0, 'xgb__reg_lambda': 0.0625, 'xgb__reg_alpha': 0.25, 'xgb__n_estimators': 4501, 'xgb__min_child_weight': 128, 'xgb__max_depth': 7, 'xgb__learning_rate': 0.0078125, 'xgb__colsample_bylevel': 0.7}",0.5,0.5,0.5,0.5,0.0,594
318,1.0459989706675212,0.05819410694160953,0.007002433141072591,7.370009816086851e-07,0.2,0.5,0.0625,501,4,5,0.001953125,0.8,"{'xgb__subsample': 0.2, 'xgb__reg_lambda': 0.5, 'xgb__reg_alpha': 0.0625, 'xgb__n_estimators': 501, 'xgb__min_child_weight': 4, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.001953125, 'xgb__colsample_bylevel': 0.8}",0.8748468137254902,0.8915441176470589,0.9220825127505934,0.8961578147077143,0.019557904898414816,185
319,2.787083307902018,0.14373439374172506,0.006333986918131511,0.00047058361257363554,0.4,0.015625,0.001953125,3251,128,1,0.25,0.5,"{'xgb__subsample': 0.4, 'xgb__reg_lambda': 0.015625, 'xgb__reg_alpha': 0.001953125, 'xgb__n_estimators': 3251, 'xgb__min_child_weight': 128, 'xgb__max_depth': 1, 'xgb__learning_rate': 0.25, 'xgb__colsample_bylevel': 0.5}",0.5,0.5,0.5,0.5,0.0,594
320,0.01199809710184733,2.306082745956883e-06,0.0040005842844645185,2.9736021254650284e-07,1.0,1,0.0078125,1,128,11,0.00390625,0.7,"{'xgb__subsample': 1.0, 'xgb__reg_lambda': 1, 'xgb__reg_alpha': 0.0078125, 'xgb__n_estimators': 1, 'xgb__min_child_weight': 128, 'xgb__max_depth': 11, 'xgb__learning_rate': 0.00390625, 'xgb__colsample_bylevel': 0.7}",0.5,0.5,0.5,0.5,0.0,594
321,1.8010132312774658,0.033957836365993914,0.00998687744140625,0.0016534442541383913,0.1,0.0625,8,2501,4,13,0.00390625,0.1,"{'xgb__subsample': 0.1, 'xgb__reg_lambda': 0.0625, 'xgb__reg_alpha': 8, 'xgb__n_estimators': 2501, 'xgb__min_child_weight': 4, 'xgb__max_depth': 13, 'xgb__learning_rate': 0.00390625, 'xgb__colsample_bylevel': 0.1}",0.8468137254901961,0.8705065359477124,0.9024390243902439,0.8732530952760508,0.022791828368050077,417
322,4.742686669031779,0.5066978301161608,0.043320020039876304,0.011453312922782453,0.8,1024,0.03125,3001,2,9,0.015625,0.1,"{'xgb__subsample': 0.8, 'xgb__reg_lambda': 1024, 'xgb__reg_alpha': 0.03125, 'xgb__n_estimators': 3001, 'xgb__min_child_weight': 2, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.015625, 'xgb__colsample_bylevel': 0.1}",0.8773999183006536,0.8915441176470589,0.9274352370852901,0.8987930910110009,0.021060136001355815,150
323,1.4603821436564128,0.022894918326247186,0.006001710891723633,1.7302466278932287e-06,0.8,0.015625,128,2501,8,4,0.03125,0.1,"{'xgb__subsample': 0.8, 'xgb__reg_lambda': 0.015625, 'xgb__reg_alpha': 128, 'xgb__n_estimators': 2501, 'xgb__min_child_weight': 8, 'xgb__max_depth': 4, 'xgb__learning_rate': 0.03125, 'xgb__colsample_bylevel': 0.1}",0.8473754084967321,0.8740808823529411,0.8924152906125334,0.8712905271540689,0.018493013218568527,425
